step,loss,moving_average_200
845,0.0643,0.0454715
846,0.0362,0.0451985
847,0.0391,0.045252
848,0.0408,0.045146
849,0.0404,0.0448795
850,0.0205,0.0446845
851,0.0707,0.044904
852,0.099,0.0452535
853,0.0431,0.0452945
854,0.0601,0.045429
855,0.0132,0.04534
856,0.0582,0.045493
857,0.0589,0.045643
858,0.0523,0.0455665
859,0.0385,0.0453995
860,0.0253,0.045259
861,0.0921,0.045547
862,0.039,0.045447
863,0.0344,0.0454065
864,0.0484,0.0454345
865,0.1155,0.045732
866,0.0318,0.045666
867,0.0353,0.045539
868,0.0453,0.045616
869,0.0325,0.045563
870,0.0559,0.0457065
871,0.0374,0.0456175
872,0.0196,0.045417
873,0.0326,0.0454545
874,0.0186,0.0452705
875,0.0381,0.045205
876,0.0373,0.045123
877,0.0688,0.0453175
878,0.0534,0.0453325
879,0.0633,0.045408
880,0.0366,0.045389
881,0.028,0.0453665
882,0.0326,0.0452825
883,0.0512,0.0453245
884,0.0552,0.0454885
885,0.0632,0.0454475
886,0.0602,0.0456025
887,0.0424,0.045601
888,0.0595,0.0457665
889,0.0322,0.045634
890,0.049,0.0456535
891,0.0135,0.0454635
892,0.0386,0.0455375
893,0.0288,0.045468
894,0.0382,0.0452705
895,0.0253,0.045151
896,0.0418,0.04525
897,0.0397,0.0451955
898,0.0784,0.0453405
899,0.0259,0.045247
900,0.0305,0.0450025
901,0.0476,0.045139
902,0.0327,0.0451545
903,0.0599,0.0452035
904,0.0326,0.045071
905,0.0295,0.0447125
906,0.0698,0.0448565
907,0.0576,0.0449775
908,0.0504,0.0448075
909,0.0414,0.044865
910,0.039,0.0448955
911,0.0279,0.0448435
912,0.0473,0.044886
913,0.0149,0.044761
914,0.0286,0.0446175
915,0.0284,0.044555
916,0.1075,0.0448215
917,0.0428,0.0448135
918,0.0561,0.044737
919,0.0274,0.044519
920,0.0335,0.0443145
921,0.0363,0.044184
922,0.0256,0.04389
923,0.023,0.043853
924,0.0526,0.044009
925,0.0231,0.04387
926,0.0816,0.0440605
927,0.0487,0.0441195
928,0.031,0.0441
929,0.0349,0.0440635
930,0.024,0.044028
931,0.0477,0.044129
932,0.0647,0.04436
933,0.0189,0.0441395
934,0.0462,0.044218
935,0.0519,0.0442245
936,0.0456,0.0444105
937,0.0533,0.0444605
938,0.0232,0.044405
939,0.0567,0.0445305
940,0.0809,0.044685
941,0.0496,0.0447205
942,0.0364,0.044713
943,0.0289,0.0447085
944,0.0458,0.044841
945,0.0248,0.0447405
946,0.04,0.0447695
947,0.039,0.0447235
948,0.0426,0.0447795
949,0.0272,0.0447205
950,0.0314,0.0446985
951,0.0454,0.0446485
952,0.0357,0.0444145
953,0.059,0.044488
954,0.0428,0.0446105
955,0.0236,0.044543
956,0.0636,0.04463
957,0.0589,0.044763
958,0.0405,0.044808
959,0.0244,0.044772
960,0.0327,0.0447505
961,0.0531,0.044753
962,0.0405,0.044611
963,0.0255,0.0445205
964,0.03,0.044258
965,0.0369,0.0441615
966,0.074,0.0442405
967,0.0231,0.0441985
968,0.08,0.0444655
969,0.0265,0.044311
970,0.0323,0.0442565
971,0.032,0.0443215
972,0.0596,0.0444215
973,0.0466,0.044502
974,0.0272,0.0444275
975,0.0658,0.0446565
976,0.0569,0.0447785
977,0.0531,0.0447205
978,0.0326,0.0446105
979,0.0351,0.044553
980,0.0151,0.0444655
981,0.0603,0.0444795
982,0.0342,0.0443665
983,0.0415,0.0442805
984,0.0409,0.044174
985,0.0228,0.044057
986,0.0389,0.044054
987,0.0303,0.0439375
988,0.0411,0.0439615
989,0.0298,0.0439225
990,0.0445,0.043968
991,0.0283,0.043817
992,0.0424,0.043879
993,0.0451,0.043911
994,0.0516,0.043996
995,0.0444,0.0439765
996,0.0867,0.0441835
997,0.0478,0.044282
998,0.0125,0.0442035
999,0.0344,0.0441595
1000,0.0485,0.0441665
1001,0.0525,0.044272
1002,0.0207,0.044251
1003,0.0511,0.0441465
1004,0.045,0.0441385
1005,0.0304,0.043995
1006,0.0674,0.043986
1007,0.0602,0.0440595
1008,0.0108,0.043947
1009,0.0664,0.044135
1010,0.0172,0.044063
1011,0.0376,0.04407
1012,0.0462,0.044074
1013,0.0429,0.044145
1014,0.0245,0.0440515
1015,0.0082,0.0438185
1016,0.0382,0.043705
1017,0.0372,0.043561
1018,0.0428,0.0435695
1019,0.0367,0.043269
1020,0.0344,0.0432455
1021,0.0721,0.0431995
1022,0.0589,0.043284
1023,0.0458,0.043242
1024,0.0314,0.0432705
1025,0.0272,0.0432315
1026,0.0408,0.043036
1027,0.0558,0.0430105
1028,0.0634,0.042717
1029,0.0584,0.042879
1030,0.0579,0.042953
1031,0.0296,0.042837
1032,0.0463,0.0428655
1033,0.0538,0.0428775
1034,0.0312,0.04275
1035,0.0161,0.042677
1036,0.0181,0.042591
1037,0.0391,0.0426705
1038,0.025,0.042632
1039,0.0316,0.042611
1040,0.0429,0.0425905
1041,0.022,0.0424635
1042,0.1009,0.04279
1043,0.025,0.0427505
1044,0.024,0.042637
1045,0.0753,0.042692
1046,0.0307,0.0426645
1047,0.0474,0.042706
1048,0.0307,0.0426555
1049,0.0408,0.0426575
1050,0.0441,0.0427755
1051,0.0378,0.042611
1052,0.0197,0.0422145
1053,0.0512,0.042255
1054,0.0631,0.04227
1055,0.0373,0.0423905
1056,0.0431,0.042315
1057,0.0248,0.0421445
1058,0.0197,0.0419815
1059,0.0284,0.041931
1060,0.0607,0.042108
1061,0.0364,0.0418295
1062,0.0491,0.04188
1063,0.045,0.041933
1064,0.0322,0.041852
1065,0.0262,0.0414055
1066,0.0573,0.041533
1067,0.0654,0.0416835
1068,0.0494,0.041704
1069,0.0347,0.041715
1070,0.0248,0.0415595
1071,0.0733,0.041739
1072,0.0323,0.0418025
1073,0.0657,0.041968
1074,0.0475,0.0421125
1075,0.1135,0.0424895
1076,0.0504,0.042555
1077,0.0183,0.0423025
1078,0.056,0.0423155
1079,0.0525,0.0422615
1080,0.0357,0.042257
1081,0.0616,0.042425
1082,0.033,0.042427
1083,0.0659,0.0425005
1084,0.034,0.0423945
1085,0.0381,0.042269
1086,0.031,0.042123
1087,0.0152,0.041987
1088,0.0532,0.0419555
1089,0.0329,0.041959
1090,0.0415,0.0419215
1091,0.0278,0.041993
1092,0.0291,0.0419455
1093,0.0399,0.042001
1094,0.0396,0.042008
1095,0.0562,0.0421625
1096,0.0337,0.042122
1097,0.0565,0.042206
1098,0.0326,0.041977
1099,0.0183,0.041939
1100,0.0474,0.0420235
1101,0.0285,0.041928
1102,0.0504,0.0420165
1103,0.0439,0.0419365
1104,0.0312,0.0419295
1105,0.0518,0.042041
1106,0.0216,0.0418
1107,0.0482,0.041753
1108,0.0458,0.04173
1109,0.0235,0.0416405
1110,0.0198,0.0415445
1111,0.03,0.041555
1112,0.0519,0.041578
1113,0.0331,0.041669
1114,0.0408,0.04173
1115,0.0339,0.0417575
1116,0.0337,0.0413885
1117,0.022,0.0412845
1118,0.0309,0.0411585
1119,0.0419,0.041231
1120,0.0314,0.0412205
1121,0.0128,0.041103
1122,0.0542,0.041246
1123,0.1052,0.041657
1124,0.0305,0.0415465
1125,0.0471,0.0416665
1126,0.032,0.0414185
1127,0.0225,0.0412875
1128,0.0449,0.041357
1129,0.0384,0.0413745
1130,0.0416,0.0414625
1131,0.0223,0.0413355
1132,0.0153,0.0410885
1133,0.055,0.041269
1134,0.0567,0.0413215
1135,0.0128,0.041126
1136,0.0376,0.041086
1137,0.0203,0.040921
1138,0.0185,0.0408975
1139,0.075,0.040989
1140,0.0316,0.0407425
1141,0.0341,0.040665
1142,0.0234,0.0406
1143,0.0291,0.040601
1144,0.0311,0.0405275
1145,0.0452,0.0406295
1146,0.0221,0.04054
1147,0.0303,0.0404965
1148,0.022,0.0403935
1149,0.0464,0.0404895
1150,0.0305,0.040485
1151,0.0218,0.040367
1152,0.0451,0.040414
1153,0.0321,0.0402795
1154,0.035,0.0402405
1155,0.0538,0.0403915
1156,0.0226,0.0401865
1157,0.0464,0.040124
1158,0.1128,0.0404855
1159,0.0609,0.040668
1160,0.0431,0.04072
1161,0.0468,0.0406885
1162,0.0186,0.040579
1163,0.0581,0.040742
1164,0.028,0.040732
1165,0.0526,0.0408105
1166,0.0537,0.040709
1167,0.0368,0.0407775
1168,0.0264,0.0405095
1169,0.0146,0.04045
1170,0.0969,0.040773
1171,0.0597,0.0409115
1172,0.0301,0.040764
1173,0.0194,0.040628
1174,0.0284,0.040634
1175,0.0219,0.0404145
1176,0.0402,0.040331
1177,0.0164,0.0401475
1178,0.0484,0.0402265
1179,0.037,0.040236
